Drive folder,Brand,Drive name,Images,Matched SKU,Matched product,How
NEXT/DINNING SETS/SMASH WITH TEXX,NEXT,SMASH WITH TEXX,10,,,NO MATCH
NEXT/DINNING SETS/STARK WITH MAZE,NEXT,STARK WITH MAZE,15,,,NO MATCH
NEXT/DINNING SETS/STARK WITH MESH,NEXT,STARK WITH MESH,5,,,NO MATCH
NEXT/DINNING SETS/TREAT WITH TAVERA,NEXT,TREAT WITH TAVERA,6,,,NO MATCH
NEXT/DINNING SETS/ULTIMATE WITH MAZE,NEXT,ULTIMATE WITH MAZE,12,,,NO MATCH
NEXT/DINNING SETS/ULTIMATE WITH MESH,NEXT,ULTIMATE WITH MESH,5,,,NO MATCH
NEXT/DINNING SETS/VANITY  WITH MESH,NEXT,VANITY  WITH MESH,10,,,NO MATCH
NEXT/DINNING SETS/VANITY WITH MAZE,NEXT,VANITY WITH MAZE,5,,,NO MATCH
NEXT/PREMIUM ARM CHAIRS/MAGNETIK,NEXT,MAGNETIK,3,NP-NXT-001,Magnetic,spelling-1
NEXT/PREMIUM ARM CHAIRS/VANITY SUPER DELEXUE,NEXT,VANITY SUPER DELEXUE,36,,,NO MATCH
NEXT/PREMIUM ARMLESS CHAIRS/ARMLESS SUPER DELEXUE,NEXT,ARMLESS SUPER DELEXUE,10,,,NO MATCH
